# Filter:   PLANCK_HFI.353GHz
# Detector: energy
# Name:     PLANCK_HFI_353GHZ
# Points:   654
# Units:    Angstrom
#############################################################################
9117584.66 0.800448
9118974.39 0.802541
9120364.55 0.804153
9121755.55 0.805281
9123146.97 0.805929
9123666.79 0.806052
9137724.14 0.788548
9151825.30 0.739202
9165970.89 0.704309
9180159.44 0.722014
9194392.82 0.754327
9208669.56 0.7825
9222991.55 0.760037
9237357.31 0.706666
9251767.90 0.678462
9266223.94 0.67854
9280724.37 0.667783
9295271.55 0.633019
9309863.54 0.608014
9324502.28 0.6154
9339186.26 0.59484
9353916.56 0.546166
9368694.28 0.513508
9383517.89 0.529096
9398389.36 0.538209
9413306.27 0.490424
9428271.50 0.435627
9443285.28 0.428197
9458346.06 0.449363
9473455.85 0.454242
9488613.09 0.441706
9503819.82 0.429367
9519074.46 0.404036
9534378.15 0.402902
9549731.59 0.437318
9565133.63 0.473436
9580586.82 0.479068
9596089.09 0.471009
9611641.62 0.480225
9627245.57 0.515079
9642899.33 0.523273
9658605.02 0.497156
9674361.01 0.492201
9690169.43 0.501669
9706028.19 0.474678
9721938.94 0.437963
9737903.36 0.436305
9753919.34 0.458665
9769989.06 0.451574
9786110.85 0.393786
9802286.89 0.376367
9818515.54 0.377856
9834798.01 0.372812
9851135.55 0.342655
9867525.51 0.317907
9883972.05 0.273393
9900472.53 0.222236
9917028.19 0.201877
9933640.30 0.177445
9950307.17 0.162811
9967031.05 0.143826
9983810.25 0.133037
10000647.04 0.123083
10017539.21 0.0718725
10034488.54 0.0462362
10051496.83 0.00833196
10068561.87 0.00373054
10085685.97 0.00193409
10102867.40 0.0010942
10120108.48 0.0006571
